id,name,description,price,category,stock
1,Smartphone X,5G smartphone with 6.7-inch OLED display,899.99,Electronics,50
2,Wireless Headphones,Noise-canceling Bluetooth headphones,129.99,Electronics,80
3,Smartwatch Fitness Tracker,Tracks steps heart rate sleep,79.99,Electronics,120
4,Wireless Charging Pad,Fast charging pad for smartphones,29.99,Electronics,200
5,Bluetooth Speaker,Portable waterproof speaker with bass boost,49.99,Electronics,150
6,Tablet Pro,10-inch screen 256GB storage stylus included,499.99,Electronics,60
7,LED Smart TV,55-inch 4K UHD smart TV,699.99,Electronics,30
8,Digital Camera,20MP DSLR camera with lens kit,599.99,Electronics,40
9,External Hard Drive,1TB USB 3.0 portable hard drive,69.99,Electronics,100
10,Gaming Mouse,Programmable RGB gaming mouse,39.99,Electronics,90
11,The Art of War,Ancient Chinese military treatise by Sun Tzu,12.99,Books,200
12,To Kill a Mockingbird,Classic American novel by Harper Lee,10.99,Books,150
13,Atomic Habits,Transform Your Life with Small Changes,22.99,Books,180
14,Homo Sapiens,A Brief History of Humankind,19.99,Books,170
15,Think and Grow Rich,Napoleon Hill's classic on wealth creation,14.99,Books,210
16,The Alchemist,Philosophical novel by Paulo Coelho,11.99,Books,190
17,Harry Potter and the Sorcerer's Stone,First book in the iconic series,16.99,Books,160
18,The Hobbit,Fantasy adventure by J.R.R. Tolkien,13.99,Books,140
19,The Da Vinci Code,Mystery thriller by Dan Brown,15.99,Books,130
20,1984,Dystopian novel by George Orwell,10.49,Books,220
21,Cotton T-Shirt,Unisex solid color cotton T-shirt,19.99,Textiles,300
22,Jeans - Slim Fit,Stretch denim jeans for men and women,39.99,Textiles,250
23,Sweatshirt Hoodie,Comfortable hoodie with front pocket,29.99,Textiles,200
24,Women's Skirt,A-line skirt made from soft fabric,24.99,Textiles,180
25,Formal Men's Shirt,Business casual dress shirt,34.99,Textiles,150
26,Winter Jacket,Thermal insulated jacket for cold weather,59.99,Textiles,100
27,Sneakers - Running Shoes,Lightweight running shoes with cushioning,49.99,Textiles,220
28,Women's Handbag,Stylish handbag with adjustable strap,39.99,Textiles,160
29,Woolen Scarf,Warm scarf for winter wear,14.99,Textiles,200
30,Sunglasses UV Protection,Stylish sunglasses with UV protection,24.99,Textiles,180
31,Laptop Backpack,Water-resistant laptop backpack with USB port,34.99,Textiles,120
32,Smart Home Assistant,Voice-controlled smart home device,59.99,Electronics,70
33,Drone with 4K Camera,Remote-controlled drone with HD camera,499.99,Electronics,30
34,Wireless Earbuds,Compact true wireless earbuds with mic,59.99,Electronics,150
35,Smart Bulbs,Set of 2 voice-controlled LED smart bulbs,29.99,Electronics,250
36,Electric Kettle,1.7L fast-boiling electric kettle,22.99,Electronics,180
37,Blender,High-speed blender with multiple settings,39.99,Electronics,130
38,Robot Vacuum Cleaner,Smart vacuum with app control,299.99,Electronics,40
39,Home Security Camera,1080p Wi-Fi security camera,79.99,Electronics,90
40,Smart Doorbell,Cam-enabled doorbell with motion detection,89.99,Electronics,60
41,The Psychology of Money,Morgan Housel’s insights on wealth happiness and greed,19.99,Books,200
42,How to Win Friends and Influence People,Dale Carnegie's timeless self-help classic,14.99,Books,210
43,Deep Work,Focused strategies for productivity,21.99,Books,190
44,The Lean Startup,Eric Ries' guide to building successful startups,18.99,Books,170
45,Principles,Life and work principles by Ray Dalio,22.99,Books,160
46,Sapiens,Yuval Noah Harari's exploration of human history,17.99,Books,180
47,The Subtle Art of Not Giving a F*ck,Mark Manson's counterintuitive guide to living,16.99,Books,200
48,Think Like a Monk,Raavin Mehta's guide to peace and purpose,15.99,Books,190
49,Good Omens,Comedy fantasy novel by Neil Gaiman and Terry Pratchett,13.99,Books,180
50,The Silent Patient,Psychological thriller by Alex Michaelides,12.99,Books,200
51,Women's Yoga Pants,Stretchable leggings for workout or casual wear,29.99,Textiles,220
52,Denim Jacket,Classic blue denim jacket for all seasons,44.99,Textiles,160
53,Track Pants,Sporty track pants with elastic waistband,24.99,Textiles,200
54,Sandals - Casual Footwear,Comfortable unisex outdoor sandals,29.99,Textiles,180
55,Beanie Hat,Winter beanie hat in various colors,14.99,Textiles,250
56,Winter Gloves,Thermal gloves for cold weather,19.99,Textiles,200
